Breed,Age (Years),Weight (kg),Color,Gender
Russian Blue,19,7,Tortoiseshell,Female
Norwegian Forest,19,9,Tortoiseshell,Female
Chartreux,3,3,Brown,Female
Persian,13,6,Sable,Female
Ragdoll,10,8,Tabby,Male
Ocicat,9,8,Blue,Female
Ragdoll,6,5,Calico,Female
Abyssinian,12,3,Tabby,Male
Oriental,2,7,White,Male
Egyptian Mau,12,3,White,Male
Chartreux,16,4,White,Male
American Shorthair,13,5,Black,Male
Bengal,16,6,White,Male
Cornish Rex,13,6,Pointed,Male
British Shorthair,19,3,Red,Female
Burmese,14,5,Pointed,Male
Burmese,13,3,Pointed,Male
Russian Blue,10,7,Black,Male
Singapura,7,3,Blue,Female
Maine Coon,5,6,Tricolor,Male
British Shorthair,17,6,Cream,Female
Abyssinian,9,3,Tabby,Male
Cornish Rex,6,9,Pointed,Male
Turkish Angora,16,6,Sable,Female
Burmese,6,7,Calico,Female
Himalayan,6,6,Tortoiseshell,Male
Sphynx,18,4,Cream,Male
Manx,1,4,Blue,Male
Siberian,17,2,Calico,Male
Birman,17,7,Pointed,Female
Oriental,1,2,Tortoiseshell,Female
Balinese,11,9,White,Male
Egyptian Mau,13,3,Pointed,Male
Devon Rex,1,3,Orange,Male
Egyptian Mau,8,3,Cream,Male
Sphynx,6,3,Tortoiseshell,Female
Norwegian Forest,5,9,Sable,Female
Norwegian Forest,5,6,Tabby,Male
Persian,6,2,Sable,Male
American Shorthair,13,8,Black,Male
Ragdoll,18,3,Cream,Male
Burmese,13,4,Blue,Female
Himalayan,7,9,Tabby,Female
Egyptian Mau,8,6,White,Male
Exotic Shorthair,17,2,White,Male
Egyptian Mau,1,7,Gray,Female
Egyptian Mau,16,6,White,Male
Turkish Angora,11,5,Bicolor,Male
Abyssinian,4,9,Blue,Female
Persian,4,3,Bicolor,Male
Maine Coon,17,4,Black,Male
Oriental,17,7,Red,Female
Manx,10,9,Tricolor,Female
Persian,6,2,Blue,Male
Scottish Fold,17,6,Tricolor,Male
Balinese,18,2,Orange,Male
Cornish Rex,10,5,Tabby,Male
Ragdoll,13,4,Brown,Male
Savannah,16,7,Gray,Male
American Shorthair,7,8,Bicolor,Female
Cornish Rex,15,6,Blue,Male
Munchkin,2,7,Blue,Male
Siamese,5,9,Brown,Female
Persian,17,5,White,Male
Persian,5,4,Bicolor,Male
Bengal,8,3,Red,Female
Chartreux,15,2,Calico,Male
Sphynx,8,8,Calico,Male
British Shorthair,3,5,Tricolor,Male
Birman,17,7,Pointed,Female
Balinese,16,7,Tricolor,Female
Himalayan,16,9,Orange,Male
Norwegian Forest,19,2,Brown,Female
Bengal,12,2,Tricolor,Male
Oriental,15,5,Tabby,Female
Scottish Fold,8,5,Tricolor,Male
Singapura,3,6,Calico,Male
Burmese,18,4,Bicolor,Female
Maine Coon,4,8,Black,Female
Maine Coon,8,7,Tricolor,Female
Abyssinian,14,3,Pointed,Female
Oriental,17,4,Gray,Female
Manx,6,7,Black,Male
Ragdoll,5,8,Cream,Female
British Shorthair,14,7,Red,Female
Cornish Rex,6,8,Red,Female
Savannah,12,3,Sable,Female
