Institution,Course Number,Launch Date,Course Title,Instructors,Course Subject,Year,Honor Code Certificates,Participants (Course Content Accessed),Audited (> 50% Course Content Accessed),Certified,% Audited,% Certified,% Certified of > 50% Course Content Accessed,% Played Video,% Posted in Forum,% Grade Higher Than Zero,Total Course Hours (Thousands),Median Hours for Certification,Median Age,% Male,% Female,% Bachelor's Degree or Higher
MITx,6.002x,09/05/2012,Circuits and Electronics,Khurram Afridi,"Science, Technology, Engineering, and Mathematics",1,1,36105,5431,3003,15.04,8.32,54.98,83.2,8.17,28.97,418.94,64.45,26,88.28,11.72,60.68
MITx,6.00x,09/26/2012,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag, Chris Terman",Computer Science,1,1,62709,8949,5783,14.27,9.22,64.05,89.14,14.38,39.5,884.04,78.53,28,83.5,16.5,63.04
MITx,3.091x,10/09/2012,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",1,1,16663,2855,2082,17.13,12.49,72.85,87.49,14.42,34.89,227.55,61.28,27,70.32,29.68,58.76
HarvardX,CS50x,10/15/2012,Introduction to Computer Science,"David Malan, Nate Hardison, Rob Bowden, Tommy MacWilliam, Zamyla Chan",Computer Science,1,1,129400,12888,1439,9.96,1.11,11.11,0,0,1.11,220.9,0,28,80.02,19.98,58.78
HarvardX,PH207x,10/15/2012,Health in Numbers: Quantitative Methods in Clinical and Public Health Research,"Earl Francis Cook, Marcello Pagano","Government, Health, and Social Science",1,1,52521,10729,5058,20.44,9.64,47.12,77.45,15.98,32.52,804.41,76.1,32,56.78,43.22,88.33
MITx,6.00x,02/04/2013,Introduction to Computer Science and Programming,Larry Rudolph,Computer Science,1,1,65380,6473,3313,9.9,5.07,51.17,82.43,10.3,28.9,639.4,84.14,27,83.99,16.01,60.9
MITx,3.091x,02/05/2013,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",1,1,8270,838,547,10.13,6.61,65.16,80.25,10.22,23.49,68.11,59.29,27,73.3,26.7,58.99
MITx,14.73x,02/12/2013,The Challenges of Global Poverty,"Esther Duflo, Abhijit Banerjee","Government, Health, and Social Science",1,1,29044,6510,4607,22.41,15.86,70.6,83.24,13.89,39.38,279.22,40.3,30,53.76,46.24,81.94
MITx,8.02x,02/18/2013,Electricity and Magnetism,"Walter Lewin, John Belcher, Peter Dourmashkin, Ricardo Abbate, Saif Rayyan, George Stephans, Isaac Chuang","Science, Technology, Engineering, and Mathematics",1,1,39178,3543,1722,9.04,4.4,48.49,85.3,5.86,16.04,380.35,107.88,26,85.42,14.58,56.97
HarvardX,ER22x,03/02/2013,Justice,Michael Sandel,"Humanities, History, Design, Religion, and Education",1,1,58779,9425,5438,16.05,9.26,51.07,---,21.86,20.98,186.61,13.67,30,60.42,39.58,69.78
MITx,6.002x,03/03/2013,Circuits and Electronics,Tania Khanna,"Science, Technology, Engineering, and Mathematics",1,1,16752,1769,1103,10.56,6.58,61.16,83.55,5.68,22.47,148.54,59.39,25,88.88,11.12,59.51
MITx,7.00x,03/05/2013,Introduction to Biology: Secret of Life,"Eric Lander, Graham Walker, Brian White, Michelle, Mischke, Mary Ellen Wiltrout","Science, Technology, Engineering, and Mathematics",1,1,28535,6109,3242,21.41,11.36,52.92,84.62,33.14,38.85,476.84,72.8,30,57.79,42.21,68.15
HarvardX,CB22x,03/13/2013,The Ancient Greek Hero,"Greg Nagy, L.Muellner","Humanities, History, Design, Religion, and Education",1,1,25873,1803,1395,6.99,5.41,77.09,77.05,13.76,18.05,140.72,46.26,32,53.31,46.69,71.95
MITx,2.01x,04/15/2013,Elements of Structures,"Simona Socrate, Alexie Kolpak","Science, Technology, Engineering, and Mathematics",1,1,8736,1705,817,19.52,9.35,47.86,81.82,11.42,29.98,84.75,52.13,27,86.22,13.78,64.45
HarvardX,PH278x,05/15/2013,Human Health and Global Environmental Change,"Aaron Bernstein, Jack Spengler","Government, Health, and Social Science",1,1,23179,3727,2743,16.1,11.85,70.83,85.35,14.48,29.01,110.67,21.69,30,51.15,48.85,75.19
MITx,8.MREV,06/01/2013,Mechanics ReView,"David Pritchard, Colin Fredericks","Science, Technology, Engineering, and Mathematics",1,1,15350,1388,1033,9.04,6.73,71.9,10.96,8.48,24.07,145.95,68.48,26,84.53,15.47,54.43
MITx,3.091x,09/01/2013,Introduction to Solid State Chemistry,Michael Cima,"Science, Technology, Engineering, and Mathematics",2,1,11961,869,382,7.27,3.19,43.96,79.57,6.92,23.84,95.14,77.45,26,73.59,26.41,54.64
HarvardX,CB22.1x,09/03/2013,The Ancient Greek Hero,Greg Nagy,"Humanities, History, Design, Religion, and Education",2,1,17604,1260,728,7.18,4.15,57.14,68.77,6.59,14.96,65.56,22.1,31,52.11,47.89,68.75
MITx,8.01x,09/09/2013,Classical Mechanics,Walter Lewin,"Science, Technology, Engineering, and Mathematics",2,1,35903,4051,1822,11.28,5.07,44.98,78.02,10.27,25.93,452.55,111.34,25,83.26,16.74,51.75
MITx,7.00x,09/10/2013,Introduction to Biology: Secret of Life,Eric Lander,"Science, Technology, Engineering, and Mathematics",2,1,24707,4104,2086,16.61,8.44,50.78,80.54,16.88,31.57,331,69.36,28,56.69,43.31,62.45
MITx,3.086x,09/16/2013,Innovation and Commercialization,Gene Fitzgerald,"Government, Health, and Social Science",2,1,25619,1727,616,6.74,2.4,35.67,68.34,10.58,27.94,101.36,45.18,30,79.14,20.86,77.42
MITx,4.605x,09/17/2013,Global Architecture,Mark Jarzombek,"Humanities, History, Design, Religion, and Education",2,1,17077,2430,1486,14.23,8.7,61.15,65.15,10.72,30.88,138.94,48.99,31,51.95,48.05,74.02
HarvardX,HKS211.1x,10/01/2013,"Central Challenges in American National Security, Strategy and the Press: An Introduction","Graham Allison, David Sanger","Government, Health, and Social Science",2,0,5857,1393,0,23.86,0,0,63.1,9.66,35.89,12.57,0,30,66.49,33.51,73.1
MITx,24.00x,10/01/2013,"Introduction to Philosophy: God, Knowledge and Consciousness",Caspar Hare,"Humanities, History, Design, Religion, and Education",2,1,34371,5554,1893,16.16,5.51,34.08,73.84,22.16,45.27,154.23,27.25,31,64.25,35.75,65
HarvardX,SPU27x,10/08/2013,Science and Cooking: From Haute Cuisine to Soft Matter Science,Michael Brenner,"Science, Technology, Engineering, and Mathematics",2,1,60555,7195,1846,11.89,3.05,25.64,75.48,10.78,17.32,399.77,70.66,33,49.47,50.53,76.55
HarvardX,HSPH-HMS214x,10/14/2013,Fundamentals of Clinical Trials,"James Ware, Elliott Antman, Julie Buring, Graham McMahon, Marcia Testa, Robert Truog","Government, Health, and Social Science",2,1,28384,5037,2407,17.76,8.48,47.79,60.92,11.07,22.68,104.37,20.2,31,54.95,45.05,86.27
MITx,6.002x,10/16/2013,Circuits and Electronics,Anant Agarwal,"Science, Technology, Engineering, and Mathematics",2,1,21387,1269,379,5.93,1.77,29.47,63.3,3.18,10.04,117.84,81.11,25,89.29,10.71,57.18
MITx,6.00.1x,10/16/2013,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",Computer Science,2,1,57147,8248,4975,14.43,8.71,60.23,76.86,9.47,43.16,523.56,53.05,28,82.95,17.05,62.73
MITx,2.03x,10/28/2013,Dynamics and Control I,David Gossard,"Science, Technology, Engineering, and Mathematics",2,1,18424,2079,398,11.28,2.16,19.1,61.3,3.16,19.71,60.99,43.14,25,88.6,11.4,58.89
HarvardX,SW12.1x,10/31/2013,The Political and Intellectual Foundations of China,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",2,1,47384,8234,3692,17.39,7.8,44.26,78.7,12.61,32.62,145.08,13.89,29,59.22,40.78,74.91
HarvardX,AI12.1x,10/31/2013,Poetry in America: The Poetry of Early New England,Elisa New,"Humanities, History, Design, Religion, and Education",2,0,6446,2873,0,44.74,0,0,69.68,15.91,0,13.89,0,32,40.81,59.19,69.5
HarvardX,PH201x,11/15/2013,Health and Society,Ichiro Kawachi,"Government, Health, and Social Science",2,1,20914,5647,3321,27.02,15.89,58.81,66.94,12.98,43.94,99.29,17.8,30,47.38,52.62,73.95
HarvardX,CS50x,01/01/2014,Introduction to Computer Science,David Malan,Computer Science,3,1,259577,22894,1208,8.82,0.47,5.24,72.41,0,0,853.36,0,27,77.89,22.11,54.82
HarvardX,SW12.2x,01/02/2014,The Creation and End of a Centralized Empire,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",2,1,12856,4374,2640,34.03,20.54,56.74,75.9,20.89,43.29,68.25,13.77,33,60.59,39.41,79.35
HarvardX,HDS1544.1x,01/05/2014,Early Christianity: The Letters of Paul,Laura Nasrallah,"Humanities, History, Design, Religion, and Education",2,1,33784,4903,1549,14.52,4.59,31.59,70.79,16.74,15.68,101.83,19.41,38,59.35,40.65,74.15
HarvardX,AI12.2x,01/15/2014,Poetry in America: Whitman,Elisa New,"Humanities, History, Design, Religion, and Education",2,1,8685,1838,388,21.2,4.47,21.11,68.6,19.66,14.22,19.6,13.21,32,45.54,54.46,72.49
MITx,21W.789x,02/04/2014,Building Mobile Experiences,"Frank Bentley, Ed Barrett",Computer Science,2,1,25886,1332,101,5.15,0.39,7.58,59.55,6.37,15.02,40.13,26.4,29,84.27,15.73,72.27
MITx,14.73x,02/04/2014,Challenges of World Poverty,"Esther Duflo, Abhijit Banerjee","Government, Health, and Social Science",2,1,11102,1825,1173,16.44,10.57,64.16,70.88,11.33,35.45,84.99,42.26,29,51.48,48.52,78.8
MITx,6.041x,02/04/2014,Introduction to Probability: The Science of Uncertainty,John Tsitsiklis,"Science, Technology, Engineering, and Mathematics",2,1,26364,2927,592,11.1,2.25,20.23,65.57,3.98,17.78,224.14,120.16,28,83.54,16.46,73.15
HarvardX,SW12.3x,02/13/2014,Cosmopolitan Tang: Aristocratic Culture,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",2,1,7422,3221,2226,43.43,30.01,63.18,77.16,29.14,50.29,33.76,8.99,34,58.97,41.03,79.4
MITx,12.340x,02/19/2014,Global Warming Science,Kerry Emanuel,"Science, Technology, Engineering, and Mathematics",2,1,7905,1694,452,21.43,5.72,26.68,66.36,9.73,33.57,55.04,42.54,30,70.67,29.33,76.36
MITx,6.00.1x,02/19/2014,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",Computer Science,2,1,21063,3965,1920,18.82,9.12,48.4,74.21,9.28,43.66,188.51,48.42,27,83.51,16.49,63.46
HarvardX,SW25x,02/25/2014,Global Health: Case Studies from a Biosocial Perspective,"Arthur Kleinman, Paul Farmer, Salmaan Keshavjee, Anne Becker","Government, Health, and Social Science",2,1,8256,2293,1266,27.8,15.35,55.21,62.97,21.56,39.12,39.34,18.49,30,41.1,58.9,80.59
MITx,15.071x,03/04/2014,The Analytics Edge,Dimitris Bertsimas,"Government, Health, and Social Science",2,1,31391,4782,1790,15.23,5.7,37.43,73.93,6.68,21.51,313.27,81.94,31,81,19,87.62
MITx,16.110x,03/05/2014,Flight Vehicle Aerodynamics,Mark Drela,"Science, Technology, Engineering, and Mathematics",2,1,11883,692,101,5.82,0.85,14.6,47.62,2.95,6.19,34.28,112.92,25,91.48,8.52,60.98
MITx,6.00.2x,03/05/2014,Introduction to Computational Thinking and Data Science,"Eric Grimson, John Guttag",Computer Science,2,1,13148,2512,1502,19.11,11.42,59.63,69.27,7.33,32.57,97.28,38.44,29,87.9,12.1,74.21
HarvardX,GSE1x,03/11/2014,Unlocking the Immunity to Change,"Robert Kegan, Lisa Lahey","Humanities, History, Design, Religion, and Education",2,1,39319,4063,1851,10.34,4.71,45.56,66.34,23.15,42.36,159.84,25.29,36,46.37,53.63,80.08
MITx,15.390x,03/18/2014,Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,"Government, Health, and Social Science",2,1,36330,9197,2043,25.32,5.62,20.34,73.84,15.46,10.48,108.97,10.46,30,75.09,24.91,74.9
HarvardX,SW12.4x,03/20/2014,A New National Culture,"Peter Bol, Bill Kirby","Humanities, History, Design, Religion, and Education",2,1,6753,2552,1788,37.81,26.49,62.19,76.01,22.71,45.74,34.82,11.42,34,60.51,39.49,80.78
HarvardX,HAA1x,03/22/2014,HarvardX for Alumni: Explorations in Learning,Rob Lue,"Humanities, History, Design, Religion, and Education",2,0,7156,781,0,10.95,0,0,69.79,3.07,0,7.23,0,53,56.79,43.21,98.11
HarvardX,BUS5.1x,03/31/2014,Innovating in Health Care,"Regina Herzlinger, Margo Selzer","Government, Health, and Social Science",2,1,12621,2493,602,19.76,4.77,23.02,59.76,0,7.64,27.85,11.15,32,65.49,34.51,86.02
MITx,JPAL 101x,04/01/2014,Evaluating Social Programs,"Rachel Glennerster, Marc Shotland","Government, Health, and Social Science",2,1,7382,2046,980,27.72,13.28,47.9,65.09,16.82,34.69,46.04,21.46,32,51.36,48.64,90.32
HarvardX,PH525x,04/07/2014,Data Analysis for Genomics,Rafael Irizarry,"Government, Health, and Social Science",2,1,13708,3620,651,26.43,4.75,17.98,70.94,3.77,34.62,58.19,25.79,31,67.66,32.34,89.69
HarvardX,HSPH210x,04/07/2014,United States Health Policy,John McDonough,"Government, Health, and Social Science",2,1,10225,1550,763,15.18,7.47,49.23,58.94,10.05,29.84,47.9,26.57,30,51.01,48.99,82.13
HarvardX,ER22.1x,04/08/2014,Justice,Michael Sandel,"Humanities, History, Design, Religion, and Education",2,1,35409,4767,2485,13.47,7.02,45.69,67.31,19.05,17.85,145.01,20.13,29,58,42,67.17
MITx,6.SFMx,04/08/2014,Street Fighting Math,"Sanjoy Mahajan, Isaac Chuang","Science, Technology, Engineering, and Mathematics",2,1,27882,3464,567,12.42,2.03,16.37,66.49,5.74,20.52,56.9,28.32,29,84.17,15.83,66.85
